index_label,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,CBM-up,VBM-up,CBM-down,VBM-down
151,InGaS2+SGaAlTe-3,1.994,Direct,3.812,0.1229,0.5093,0.57,0,2,-3.8131257,-5.8067257,-3.9416604,-5.9352604
152,InAlTe2+SGaAlSe,1.206,Direct,3.959,0.5326,0.0432,0.0004,0.6912,2,-4.0486508,-5.2545508,-3.9331374,-5.1390374
153,InAlTe2+InAlTe2,1.578,Indirect,4.223,0.0118,0.3234,0.4543,0.1329,5,-4.2065706,-5.7847706,-3.2337135,-4.8119135
154,InGaS2+SeInGaS-2,2.105,Indirect,3.796,0.315,0.3321,0.3288,0.3538,6,-4.4149418,-6.5195418,-4.4413616,-6.5459616
155,InAlTe2+SInGaSe,0.918,Direct,4.047,0.5515,0.081,0.0017,0.6806,2,-4.4539789,-5.3714789,-4.3664727,-5.2839727
156,InAlTe2+SInAlTe,1.858,Indirect,4.117,0.0129,0.3322,0.4808,0.1082,2,-3.9083615,-5.7662615,-3.7675901,-5.6254901
157,InGaS2+SeInGaS,1.942,Direct,3.797,0.1623,0.4821,0.736,0,5,-4.34464,-6.28634,-4.3117197,-6.2534197
158,InGaS2+SInAlTe-1,1.837,Indirect,3.893,0.064,0.5791,0.1679,0.4801,5,-3.9777694,-5.8147694,-4.0895067,-5.9265067
159,InGaS2+TeInAlSe,0.464,Direct,3.907,0.6939,0,0.6962,0,1,-4.3165558,-4.7802558,-4.3106802,-4.7743802
160,InAlTe2+InGaS2,0.409,Direct,4.009,0.0008,0.6843,0.0008,0.6862,1,-4.8230475,-5.2320475,-4.738397,-5.147397
161,InGaS2+SGaAlSe-1,2.448,Indirect,3.727,0.0642,0.5708,0.3969,0.2153,5,-3.5681699,-6.0157699,-3.6084873,-6.0560873
162,InGaS2+SInAlSe-2,1.998,Indirect,3.796,0.0424,0.5965,0.4741,0.1399,5,-4.8193902,-6.8172902,-4.7489064,-6.7468064
163,InGaS2+InGaSe2,1.65,Indirect,3.846,0.1039,0.547,0.5131,0.1779,5,-4.5942601,-6.2443601,-4.5494141,-6.1995141
164,InGaS2+InGaS2,2.192,Indirect,3.762,0.1588,0.4836,0.4847,0.1926,6,-4.3623107,-6.5547107,-4.298619,-6.491019
165,InGaS2+SInGaTe-1,1.496,Direct,3.901,0.0898,0.5636,0.6848,0,2,-3.8971167,-5.3931167,-4.5773,-6.0733
166,InAlTe2+InGaSe2,0.991,Direct,4.084,0.5537,0.0683,0.0017,0.6773,2,-4.3750177,-5.3664177,-4.3097969,-5.3011969
167,InGaS2+SeInAlTe-2,1.168,Indirect,3.927,0.0896,0.5425,0.4542,0.1503,5,-5.4131838,-6.5809838,-4.8667214,-6.0345214
168,InGaS2+SeGaAlTe-3,1.756,Direct,3.862,0.0657,0.5709,0.2695,0.335,5,-3.631608,-5.387808,-4.6450192,-6.4012192
169,InS+GaAlS2,2.217,Indirect,3.747,0.0245,0.4869,0.5292,0.0488,2,-4.286161,-6.502761,-4.2292639,-6.4458639
170,InS+SeInAlTe,1.298,Indirect,4.002,0.1088,0.523,0.4886,0.1079,2,-5.1829809,-6.4808809,-4.5511443,-5.8490443
171,InS+SeInGaS,1.901,Indirect,3.878,0.5299,0.1077,0.4913,0.1904,5,-4.4675418,-6.3685418,-4.5390622,-6.4400622
172,InGaSe2+SeGaAlS,2.236,Indirect,3.804,0.0698,0.5475,0.5006,0.099,2,-3.8613126,-6.0971126,-3.7948844,-6.0306844
173,InGaSe2+SInAlSe,1.893,Indirect,3.877,0.0646,0.5605,0.4943,0.125,5,-5.0413843,-6.9345843,-3.7825691,-5.6757691
