,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,form-energy,,
211,GaAlS2+SeInGaS,0.886,Indirect,3.71,0.0268,0.2566,0.7439,0,2,-0.04165693,,
212,GaAlS2+SeInGaS-1,1.11,Indirect,3.708,0.0178,0.2633,0.7438,0.0009,2,-0.05450718,,
213,GaAlS2+SeInGaS-2,1.266,Direct,3.709,0.5913,0.0454,0.7441,0,1,-0.03514369,,
214,GaAlS2+SeInGaS-3,1.34,Direct,3.707,0.5935,0.0435,0.7434,0.0003,1,-0.04667616,,
215,GaAlS2+SeInGaTe,0.162,Direct,3.844,0.0594,0.5204,0.6944,0.0003,2,0.36735263,,
216,GaAlS2+SeInGaTe-1,0.577,Direct,3.844,0.0535,0.5237,0.6942,0,2,0.3703461,,
217,GaAlS2+SeInGaTe-2,0.816,Direct,3.841,0.0412,0.5205,0.6948,0.0002,2,0.37594094,,
218,GaAlS2+SeInGaTe-3,1.269,Indirect,3.842,0.4606,0.0564,0.6946,0,1,0.37895158,,
219,GaAlS2+SGaAlSe,1.207,Indirect,3.64,0.0052,0.2762,0.5144,0.0607,2,-0.15851788,,
220,GaAlS2+SGaAlSe-1,1.691,Indirect,3.643,0.0558,0.2362,0.2957,0.2838,5,-0.15168025,,
221,GaAlS2+SGaAlSe-2,1.797,Indirect,3.638,0.0494,0.2288,0.3009,0.2801,5,-0.15147487,,
222,GaAlS2+SGaAlSe-3,1.363,Indirect,3.641,0.3238,0.0102,0.0566,0.5162,2,-0.14580752,,
223,GaAlS2+SGaAlTe,0.03,Indirect,3.727,0.0058,0.2637,0.5816,0.0002,2,-0.01148353,,
224,GaAlS2+SGaAlTe-1,0.839,Indirect,3.731,0.073,0.2192,0.5813,0,5,0.0066563,,
225,GaAlS2+SGaAlTe-2,0.753,Indirect,3.727,0.0122,0.2525,0.5817,0.0001,2,-0.00269795,,
226,GaAlS2+SGaAlTe-3,1.021,Indirect,3.73,0.3696,0.0137,0.5816,0,1,0.01543094,,
